"id","name","code","shortName","description","numeratorDescription","numerator","denominatorDescription","denominator"
"hGD6TLdafhQ","IM PMP DX 1 - Percentage of confirmed malaria cases (NP)","PMP DX 1 NP","IM PMP DX 1 - % of confirmed cases (NP)","Percentage of confirmed malaria cases (NP)","Number of cases confirmed as malaria by a parasitological test (RDT or microscopy)","#{sZoMIJ8KFiw}","Total number of suspected malaria cases who received a parasitological test","#{uZWRcBbXVO5}"
"hwj9EBz8xwO","IM PMP DX 1 - Percentage of confirmed malaria cases (P)","PMP DX 1 P","IM PMP DX 1 - % of confirmed cases (P)","Percentage of confirmed malaria cases (P)","Number of cases confirmed as malaria by a parasitological test (RDT or microscopy)","#{CrV5hkFVvdH}","Total number of suspected malaria cases who received a parasitological test","#{hoGKdACnBUs}"
"F1Y5k65KjL0","IM PMP DX 1 - Percentage of confirmed malaria cases","PMP DX 1","IM PMP DX 1 - % of confirmed cases","Percentage of confirmed malaria cases","Number of cases confirmed as malaria by a parasitological test (RDT or microscopy)","#{UFGPsP6p9mm}","Total number of suspected malaria cases who received a parasitological test","#{N6j1f9LZiLf}"
"uoxQrM9gmMV","IM PMP DX 2 - Percentage of patients with suspected malaria who received a parasitological test","PMP DX 2","IM PMP DX 2 - % of Suspected cases tested","Percentage of patients with suspected malaria who received a parasitological test","Number of suspected malaria cases who received a parasitological test","#{N6j1f9LZiLf}","Total number of suspected cases of malaria","#{eHWYhy8vO8q}"
"L94ARMuvOKD","IM PMP DX 2 - Percentage of patients with suspected malaria who received a parasitological test (NP)","PMP DX 2 NP","IM PMP DX 2 - % of suspected cases tested (NP)","Percentage of patients with suspected malaria who received a parasitological test (NP)","Number of suspected malaria cases who received a parasitological test","#{uZWRcBbXVO5}","Total number of suspected cases of malaria","#{DGZDsRtmqL7}"
"j8sLx5I3wAj","IM PMP DX 2 - Percentage of patients with suspected malaria who received a parasitological test (P)","PMP DX 2 P","IM PMP DX 2 - % of suspected cases tested (P)","Percentage of patients with suspected malaria who received a parasitological test (P)","Number of suspected malaria cases who received a parasitological test","#{hoGKdACnBUs}","Total number of suspected cases of malaria","#{erW9vdRJVSE}"
"AwWfGDKfnvZ","IM PMP DX 3 - Percentage of health workers demonstrating competence in correctly classifying cases as not malaria, uncomplicated malaria, and severe malaria","PMP DX 3","IM PMP DX 3 - % of HWs able to classify cases","Percentage of health workers demonstrating competence in correctly classifying cases as not malaria, uncomplicated malaria, and severe malaria","Number of health workers who demonstrate correct procedures for correctly classifying cases according to global standards","#{Grnm6jdzAJI}","Total number of health workers targeted during the reporting period","#{SZKdCBFJd96}"
"CQnAGOKwLpt","IM PMP DX 4 - Percentage of health workers demonstrating competence in malaria RDTs","PMP DX 4","IM PMP DX 4 - % of HWs competent in RDTs","Percentage of health workers demonstrating competence in malaria RDTs","Number of health workers who score 90% or greater in preparation and reading of RDTs during the training post-test","#{Mfkn1qCEQEL}","Total number of health workers who completed a post-test during a training","#{bWQoETmKYEh}"
"IjA0iq5pBHo","IM PMP DX 5 - Percentage of health workers demonstrating competence in malaria microscopy","PMP DX 5","IM PMP DX 5 - % of HWs competent in microscopy","Percentage of health workers demonstrating competence in malaria microscopy","Number of health workers who score 90% or greater in slide preparation and parasite detection during the training post-test","#{mYlff5bXuZB}","Total number of health workers who completed a post-test during a training","#{f959MLmYSiX}"
"wz4c7jpYVLu","IM PMP DX 6 - Percentage of targeted facilities that meet standards (including appropriate materials, documentation, and qualified staff) for quality diagnosis of malaria","PMP DX 6","IM PMP DX 6 - % of facilities with quality DX","Percentage of targeted facilities that meet standards (including appropriate materials, documentation, and qualified staff) for quality diagnosis of malaria","Number of targeted facilities that meet 90% of greater on facility checklists for diagnosis during supervisory visits","#{DTdMcXDeHFj}","Total number of targeted facilities who received a supervisory visit during the reporting period","#{aRCKf2dnCpw}"
"MOtjHTBLMN6","IM PMP DX 7 - Percentage of targeted facilities with at least one provider trained in malaria diagnosis (RDT)","PMP DX 7 RDT","IM PMP DX 7 - % of facilities trained on RDT","Percentage of targeted facilities with at least one provider trained in malaria diagnosis (RDT)","Number of targeted facilities with one or more health workers trained in malaria diagnosis","#{GFDsEzfZdjr}","Total number of targeted facilities","#{VX2UY9s7UTQ}"
"Ln2S6FkKpU4","IM PMP DX 7 - Percentage of targeted facilities with at least one provider trained in malaria diagnosis (microscopy)","PMP DX 7 MC","IM PMP DX 7 - % of facilities trained (microscopy)","Percentage of targeted facilities with at least one provider trained in malaria diagnosis (microscopy)","0","#{JJ9yeyBfn5V}","0","#{VX2UY9s7UTQ}"
"yVHdETrl6SJ","IM PMP DX 8 - Percentage of targeted health workers trained in malaria laboratory diagnostics (RDT)","PMP DX 8 RDT","IM PMP DX 8 - % of HWs trained on RDT","Percentage of targeted health workers trained in malaria laboratory diagnostics (RDT)","Number of health workers who complete the training course in malaria laboratory diagnostics","#{bWQoETmKYEh}","Total number of targeted health workers","#{opuW5lGx2Cc}"
"kuU69Ft8QVK","IM PMP DX 8 - Percentage of targeted health workers trained in malaria laboratory diagnostics (microscopy)","PMP DX 8 MC","IM PMP DX 8 - % of HWs trained on (microscopy)","Percentage of targeted health workers trained in malaria laboratory diagnostics (microscopy)","Number of health workers who complete the training course in malaria laboratory diagnostics (microscopy)","#{f959MLmYSiX}","Total number of targeted health workers","#{opuW5lGx2Cc}"
"y1r9IqEbUcg","IM PMP DX 9 - Percentage of targeted supervisors trained in supervision of malaria diagnostics (microscopy)","PMP DX 9 MC","IM PMP DX 9 - % of SUPVs trained on microscopy","Percentage of targeted supervisors trained in supervision of malaria diagnostics (microscopy)","Number of supervisors trained in supervision of malaria diagnostics","#{RnEg1HPF7IR}","Total number of targeted supervisors","#{cGXuIzDaAEP}"
"ccihUYygjWH","IM PMP DX 9 - Percentage of targeted supervisors trained in supervision of malaria diagnostics (RDT)","PMP DX 9 RDT","IM PMP DX 9 - % of SUPVs trained on RDT","Percentage of targeted supervisors trained in supervision of malaria diagnostics (RDT)","Number of supervisors trained in supervision of malaria diagnostics","#{rvPl8m8kted}","Total number of targeted supervisors","#{cGXuIzDaAEP}"
"VDwMGm8H46T","IM PMP DX 10 - Percentage of targeted countries with national malaria diagnostic supervision tools that adhere to global standards","PMP DX 10","IM PMP DX 10 - % of countries with DX tools","Percentage of targeted countries with national malaria diagnostic supervision tools that adhere to global standards","Number of targeted countries whose national malaria diagnostic supervision tools adhere to global standards","#{y2aPasQa1gl}","Total number of targeted countries","1"
"RBMOiU9Itwb","IM PMP DX 11 - Percentage of targeted countries with national guidelines for malaria diagnosis that meet global standards","PMP DX 11","IM PMP DX 11 - % of countries with DX guidelines","Percentage of targeted countries with national guidelines for malaria diagnosis that meet global standards","Number of targeted countries with national guidelines for malaria diagnosis that meet global standards/","#{MUKvaz7q2CD}","Total number of targeted countries","1"
"O6YHc5Ueo8q","IM PMP TX 12 - Percentage of children under 5 appropriately treated for fever according to iCCM or country algorithms by community health workers","PMP TX 12","IM PMP TX 12 - % of CU5 fever treated","Percentage of children under 5 appropriately treated for fever according to iCCM or country algorithms by community health workers","Number of children under 5 correctly treated for malaria fever by community health worker","#{sYGiQi29bny}","Number of CU5 presented to CHWs with fever","#{jQCXu21pwiA}"
"u890IbdlQOM","IM PMP TX 13 - Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines","PMP TX 13","IM PMP TX 13 - % of confirmed severe cases","Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines","Number of confirmed severe malaria cases that were appropriately managed according to national guidelines","#{WY24SnaT4l7}","Number of severe malaria cases reviewed","#{WY24SnaT4l7}"
"N01XKZfO2kV","IM PMP TX 13 - Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines (NP)","PMP TX 13 NP","IM PMP TX 13 - % of confirmed severe cases (NP)","Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines (NP)","Number of confirmed severe malaria cases that were appropriately managed according to national guidelines (NP)","#{W6NdGzWJurN}","Number of severe malaria cases reviewed (NP)","#{W6NdGzWJurN}"
"xkjz5tL7hBA","IM PMP TX 13 - Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines (P)","PMP TX 13 P","IM PMP TX 13 - % of confirmed severe cases (P)","Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines (P)","Number of confirmed severe malaria cases that were appropriately managed according to national guidelines (P)","#{h5toMEwrcCi}","Number of severe malaria cases reviewed  (P)","#{h5toMEwrcCi}"
"bWHgOytnLem","IM PMP TX 14 - Percentage of uncomplicated malaria cases that received first-line antimalarial treatment according to national guidelines","PMP TX 14","IM PMP TX 14 - % of uncomplicated cases","Percentage of uncomplicated malaria cases that received first-line antimalarial treatment according to national guidelines","Number of reported uncomplicated malaria cases that receive the appropriate first-line antimalarial treatment","#{Aj2LczZnc35}","Total number of reported malaria cases during reporting period","#{UFGPsP6p9mm}+#{PoyoVEewRIq}+#{sZoMIJ8KFiw}+#{RnZK9U6WoAm}+#{CrV5hkFVvdH}+#{qXQ0d9NKQtI}"
"y5NVj7LxEo8","IM PMP TX 14 - Percentage of uncomplicated malaria cases that received first-line antimalarial treatment according to national guidelines (NP)","PMP TX 14 NP","IM PMP TX 14 - % of uncomplicated cases (NP)","Percentage of uncomplicated malaria cases that received first-line antimalarial treatment according to national guidelines (NP)","Number of reported uncomplicated malaria cases that receive the appropriate first-line antimalarial treatment (NP)","#{RYl937S07k0}","Total number of reported malaria cases during reporting period","#{UFGPsP6p9mm}+#{PoyoVEewRIq}+#{sZoMIJ8KFiw}+#{RnZK9U6WoAm}+#{CrV5hkFVvdH}+#{qXQ0d9NKQtI}"
"JDsKYuEPjZQ","IM PMP TX 14 - Percentage of uncomplicated malaria cases that received first-line antimalarial treatment according to national guidelines (P)","PMP TX 14 P","IM PMP TX 14 - % of uncomplicated cases (P)","Percentage of uncomplicated malaria cases that received first-line antimalarial treatment according to national guidelines (P)","Number of reported uncomplicated malaria cases that receive the appropriate first-line antimalarial treatment","#{Ldvf3MSggqO}","Total number of reported malaria cases during reporting period","#{UFGPsP6p9mm}+#{PoyoVEewRIq}+#{sZoMIJ8KFiw}+#{RnZK9U6WoAm}+#{CrV5hkFVvdH}+#{qXQ0d9NKQtI}"
"TxzjbINCUD5","IM PMP TX 15 - Percentage of targeted health workers demonstrating competence in management of severe malaria","PMP TX 15","IM PMP TX 15 - % of HWs competent in severe cases","Percentage of targeted health workers demonstrating competence in management of severe malaria","Number of health workers who score a pass mark on supervisory or quality improvement checklists measuring the diagnosis and management of severe malaria","#{QYPXt95CyCY}","Health workers assessed on diagnosis and management of severe malaria","#{W4wiC7ioFKS}"
"Ne5EYsgKQu1","IM PMP TX 16 - Percentage of targeted health workers demonstrating competence in management of uncomplicated malaria","PMP TX 16","IM PMP TX 16 - To review","Percentage of targeted health workers demonstrating competence in management of uncomplicated malaria","Number of health workers who score a pass mark on supervisory or quality improvement checklists measuring the diagnosis and treatment of uncomplicated malaria","#{gmsvdmKMmP1}","Health workers assessed on diagnosis and management of uncomplicated malaria","#{HcmlwDCmBSZ}"
"femnQA5oWf8","IM PMP TX 17 - Percentage of targeted health workers demonstrating compliance to treatment with WHO guidelines for cases with positive malaria test results","PMP TX 17","IM PMP TX 17 - To review","Percentage of targeted health workers demonstrating compliance to treatment with WHO guidelines for cases with positive malaria test results","Number of health workers who comply to treatment with a WHO-recommended antimalarial for cases with positive malaria test results during clinical assessment visits measured through direct observation during supervision visits","#{Do9KBfS22qD}","Health workers assessed on management of positive malaria cases","#{Bli6iNQMtP5}"
"peCf3o0zdUm","IM PMP TX 18 - Percentage of health workers demonstrating adherence to negative test results according to global standards","PMP TX 18","IM PMP TX 18 - To review","Percentage of health workers demonstrating adherence to negative test results according to global standards","Number of health workers demonstrating adherence to negative test results according to global standards measured through direct observation through supervision visits","#{jhcbf1Yfhr5}","Health workers assessed on management of negative malaria cases","#{vskYxCrS9Hk}"
"vNrsITfyH07","IM PMP TX 19 - Percentage of targeted facilities that meet standards (including appropriate materials, documentation, and qualified staff) for quality malaria case management","PMP TX 19","IM PMP TX 19 - % of facilities with CM standards","Percentage of targeted facilities that meet standards (including appropriate materials, documentation, and qualified staff) for quality malaria case management","Number of targeted facilities that meet 90% or greater on facility checklists for quality case management during supervisory visits","#{Bjg3UQZTo7O}","Total number of targeted facilities who received a supervisory visit during the reporting period","#{TpcOpmZBdLf}"
"MpaSKGTqP5D","IM PMP TX 20 - Percentage of targeted health facilities regularly reporting routine malaria case data","PMP TX 20","IM PMP TX 20 - % of facilities reporting cases","Percentage of targeted health facilities regularly reporting routine malaria case data","Number of health facilities reporting monthly routine malaria case load data on diagnosis and treatment within an agreed timescale at least 2 months in the past 3 months","#{xV85TQT3GEj}","Total number of target health facilities scheduled to report monthly routine malaria case load data during the reporting period","#{pDisUBYkiUY}"
"X90fuOvNJRe","IM PMP TX 21 - Percentage of targeted health facilities that receive a supervisory visit","PMP TX 21","IM PMP TX 21 - % of facilities with SUPV visits","Percentage of targeted health facilities that receive a supervisory visit","Number of health facilities that receive a supervisory visit that covers malaria case management and/or malaria in pregnancy (MiP)","#{TpcOpmZBdLf}","Total number of health facilities targeted for supervision during the reporting period","#{RncgLNY0xwy}"
"nxcquEjgl4Y","IM PMP TX 22 - Percentage of health workers trained in management of severe malaria","PMP TX 22","IM PMP TX 22 - % of HWs trained on severe malaria","Percentage of health workers trained in management of severe malaria","Number of health workers who complete the training course on severe malaria case management","#{Ly61ha78oUu}","Total number of health workers targeted","#{DoyuoVEARPV}"
"WNh0FGdX54S","IM PMP TX 23 - Percentage of targeted health workers trained according to national guidelines in malaria case management with ACTs","PMP TX 23","IM PMP TX 23 - % of HWs trained on ACTs","Percentage of targeted health workers trained according to national guidelines in malaria case management with ACTs","Number of health workers who complete the national training course on malaria case management with ACTs","#{wfxNAGkIedf}","Total number of health workers targeted","#{cqKHdgtfjID}"
"QWPGgOw6BFU","IM PMP TX 24 - Percentage of targeted countries with national guidelines for malaria treatment that meet global standards","PMP TX 24","IM PMP TX 24 - % of countries with TX guidelines","Percentage of targeted countries with national guidelines for malaria treatment that meet global standards","Number of targeted countries with national guidelines for malaria treatment that meet global standards","#{YVLRuSGpePK}","Total number of targeted countries","1"
