Performance Indicator,Code,Data Set,Disaggregation,PMP Numerator,DE Name (edited),DE uid,DE CatOptionCombo,DE CatOptionCombo (original),Direct Data entry,PMP Denominator,DE Name (edited),DE uid,DE CatOptionCombo,DE CatOptionCombo (original),id,name,code,shortName,numeratorDescription,numerator,denominatorDescription,denominator
"Contribution to national, regional or global guidance/policy documents related to malaria (including RH)",PMP OR 42,IM Technical Leadership,None,"Contribution to national, regional guidance/policy documents or related to malaria (including RH)","IM TL - Contribution to national, regional guidance/policy documents or related to malaria (including RH)",tJXmW64MUxf,IM TL 8,default,NA,"Contribution to national, regional guidance/policy documents or related to malaria (including RH)",N/A,NA,IM TL 8,NA,N6FZIcBzoAK,"IM PMP OR 42 - Contribution to national, regional or global guidance/policy documents related to malaria (including RH)",PMP OR 42,IM PMP OR 42 - Contribution,"Contribution to national, regional guidance/policy documents or related to malaria (including RH)",#{tJXmW64MUxf},"Contribution to national, regional guidance/policy documents or related to malaria (including RH)",1
Functional active RMNCH/MiP/ANC/community health Working Group,PMP MIP 33,IM Technical Leadership,None,Functional/active malaria/MiP/ANC/community health or RMNCH Working Group with a MiP lens that meets periodically,IM TL - Has functional/active malaria/MiP/ANC/community health or RMNCH Working Group with a MiP lens that meets periodically?,wHtxPnCGqBV,IM TL 5,default,NA,Functional/active malaria/MiP/ANC/community health or RMNCH Working Group with a MiP lens that meets periodically,NA,NA,IM TL 5,NA,YzVdjAu4KMa,IM PMP MIP 33 - Functional active RMNCH/MiP/ANC/community health Working Group,PMP MIP 33,IM PMP MIP 33 - Active HWGs,Functional/active malaria/MiP/ANC/community health or RMNCH Working Group with a MiP lens that meets periodically,#{wHtxPnCGqBV},Functional/active malaria/MiP/ANC/community health or RMNCH Working Group with a MiP lens that meets periodically,1
Number of program activity outputs disseminated to the global health community,PMP OR 43,IM Technical Leadership,None,"By type of output (activity reports, operational research/evaluation reports, technical briefs, learning briefs, synthesis brief, discussion brief, infographic, case studies, peer-reviewed publications, webinars, oral/poster presentations, blog posts, short video clips, photos)   By dissemination channel",IM TL - Number of program activity outputs disseminated to the global health community,P4YDP2FNh3X,IM TL 9,default,NA,"By type of output (activity reports, operational research/evaluation reports, technical briefs, learning briefs, synthesis brief, discussion brief, infographic, case studies, peer-reviewed publications, webinars, oral/poster presentations, blog posts, short video clips, photos)   By dissemination channel",N/A,NA,IM TL 9,NA,RpH8SivhZwQ,IM PMP OR 43 - Number of program activity outputs disseminated to the global health community,PMP OR 43,IM PMP OR 43 - Outputs to GH community,"By type of output (activity reports, operational research/evaluation reports, technical briefs, learning briefs, synthesis brief, discussion brief, infographic, case studies, peer-reviewed publications, webinars, oral/poster presentations, blog posts, short video clips, photos)   By dissemination channel",#{P4YDP2FNh3X},"By type of output (activity reports, operational research/evaluation reports, technical briefs, learning briefs, synthesis brief, discussion brief, infographic, case studies, peer-reviewed publications, webinars, oral/poster presentations, blog posts, short video clips, photos)   By dissemination channel",1
"Participation in targeted national, regional or global level Working group(s) and/or taskforce(s)",PMP OR 44,IM Technical Leadership,None,"Participation in national, regional or global working group(s) or taskforce(s) related to malaria (including RH)","IM TL - Participation in targeted national, regional or global level Working group(s) and/or taskforce(s)",XxfoDreiw9Z,IM TL 10,default,NA,"Participation in national, regional or global working group(s) or taskforce(s) related to malaria (including RH)",N/A,NA,IM TL 10,NA,mrwqDivT0xN,"IM PMP OR 44 - Participation in targeted national, regional or global level Working group(s) and/or taskforce(s)",PMP OR 44,IM PMP OR 44 - Participation in TWGs.,"Participation in national, regional or global working group(s) or taskforce(s) related to malaria (including RH)",#{XxfoDreiw9Z},"Participation in national, regional or global working group(s) or taskforce(s) related to malaria (including RH)",1
Percentage of confirmed malaria cases,PMP DX 1,Case Reporting,Sex - Parasitological test - Age-group,Number of cases confirmed as malaria by a parasitological test (RDT or microscopy),IM CR - DX Cases confirmed as malaria,UFGPsP6p9mm,Sex - Parasitological test - Age-group,Sex - Parasitological test - Age-group,"CI, CM, MG, NE, SL, ZM",Total number of suspected malaria cases who received a parasitological test,IM CR - DX Suspected malaria cases who received a parasitological test,N6j1f9LZiLf,Sex - Parasitological test - Age-group,Sex - Parasitological test - Age-group,F1Y5k65KjL0,IM PMP DX 1 - Percentage of confirmed malaria cases,PMP DX 1,IM PMP DX 1 - % of confirmed cases,Number of cases confirmed as malaria by a parasitological test (RDT or microscopy),#{UFGPsP6p9mm},Total number of suspected malaria cases who received a parasitological test,#{N6j1f9LZiLf}
Percentage of confirmed malaria cases (NP),PMP DX 1,Case Reporting,Sex - Parasitological test - Age-group,Number of cases confirmed as malaria by a parasitological test (RDT or microscopy),IM CR - DX Cases confirmed as malaria (non-pregnant),sZoMIJ8KFiw,Sex - Parasitological test - Age-group,Sex - Parasitological test - Age-group,"CI, CM, MG, NE, SL, ZM",Total number of suspected malaria cases who received a parasitological test,IM CR - DX Suspected malaria cases who received a parasitological test (non-pregnant),uZWRcBbXVO5,Sex - Parasitological test - Age-group,Sex - Parasitological test - Age-group,hGD6TLdafhQ,IM PMP DX 1 - Percentage of confirmed malaria cases (NP),PMP DX 1 NP,IM PMP DX 1 - % of confirmed cases (NP),Number of cases confirmed as malaria by a parasitological test (RDT or microscopy),#{sZoMIJ8KFiw},Total number of suspected malaria cases who received a parasitological test,#{uZWRcBbXVO5}
Percentage of confirmed malaria cases (P),PMP DX 1,Case Reporting,Sex - Parasitological test - Age-group,Number of cases confirmed as malaria by a parasitological test (RDT or microscopy),IM CR - DX Cases confirmed as malaria (pregnant women),CrV5hkFVvdH,Sex - Parasitological test - Age-group,Sex - Parasitological test - Age-group,"CI, CM, MG, NE, SL, ZM",Total number of suspected malaria cases who received a parasitological test,IM CR - DX Suspected malaria cases who received a parasitological test (pregnant women),hoGKdACnBUs,Sex - Parasitological test - Age-group,Sex - Parasitological test - Age-group,hwj9EBz8xwO,IM PMP DX 1 - Percentage of confirmed malaria cases (P),PMP DX 1 P,IM PMP DX 1 - % of confirmed cases (P),Number of cases confirmed as malaria by a parasitological test (RDT or microscopy),#{CrV5hkFVvdH},Total number of suspected malaria cases who received a parasitological test,#{hoGKdACnBUs}
Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines,PMP TX 13,IM Case Reporting,CORE - Sex | CORE - Parasitological test | CORE - Age-group,Number of confirmed severe malaria cases that were appropriately managed according to national guidelines,IM CR - Dx Severe cases confirmed as malaria,WY24SnaT4l7,"IM Tx S1,
IM Tx S1a,
IM Tx S1b",CORE - Sex | CORE - Parasitological test | CORE - Age-group,NA,Number of severe malaria cases reviewed,IM CR - Dx Severe cases confirmed as malaria,WY24SnaT4l7,"IM Tx S1,
IM Tx S1a,
IM Tx S1b",CORE - Sex | CORE - Parasitological test | CORE - Age-group,u890IbdlQOM,IM PMP TX 13 - Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines,PMP TX 13,IM PMP TX 13 - % of confirmed severe cases,Number of confirmed severe malaria cases that were appropriately managed according to national guidelines,#{WY24SnaT4l7},Number of severe malaria cases reviewed,#{WY24SnaT4l7}
Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines (NP),PMP TX 13,IM Case Reporting,CORE - Sex | CORE - Parasitological test | CORE - Age-group,Number of confirmed severe malaria cases that were appropriately managed according to national guidelines (NP),IM CR - Dx Severe cases confirmed as malaria (non-pregnant),W6NdGzWJurN,"IM Tx S1,
IM Tx S1a,
IM Tx S1b",CORE - Sex | CORE - Parasitological test | CORE - Age-group,NA,Number of severe malaria cases reviewed (NP),IM CR - Dx Severe cases confirmed as malaria (non-pregnant),W6NdGzWJurN,"IM Tx S1,
IM Tx S1a,
IM Tx S1b",CORE - Sex | CORE - Parasitological test | CORE - Age-group,N01XKZfO2kV,IM PMP TX 13 - Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines (NP),PMP TX 13 NP,IM PMP TX 13 - % of confirmed severe cases (NP),Number of confirmed severe malaria cases that were appropriately managed according to national guidelines (NP),#{W6NdGzWJurN},Number of severe malaria cases reviewed (NP),#{W6NdGzWJurN}
Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines (P),PMP TX 13,IM Case Reporting,CORE - Sex | CORE - Parasitological test | CORE - Age-group,Number of confirmed severe malaria cases that were appropriately managed according to national guidelines (P),IM CR - Dx Severe cases confirmed as malaria (pregnant),h5toMEwrcCi,"IM Tx S1,
IM Tx S1a,
IM Tx S1b",CORE - Sex | CORE - Parasitological test | CORE - Age-group,NA,Number of severe malaria cases reviewed  (P),IM CR - Dx Severe cases confirmed as malaria (pregnant),h5toMEwrcCi,"IM Tx S1,
IM Tx S1a,
IM Tx S1b",CORE - Sex | CORE - Parasitological test | CORE - Age-group,xkjz5tL7hBA,IM PMP TX 13 - Percentage of confirmed severe malaria cases that were appropriately managed according to national guidelines (P),PMP TX 13 P,IM PMP TX 13 - % of confirmed severe cases (P),Number of confirmed severe malaria cases that were appropriately managed according to national guidelines (P),#{h5toMEwrcCi},Number of severe malaria cases reviewed  (P),#{h5toMEwrcCi}
