"name","id","shortName","catCombo","dataSet"
"IM CR - DX Cases confirmed as malaria","UFGPsP6p9mm","Cases confirmed as malaria","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Cases confirmed as malaria (non-pregnant)","sZoMIJ8KFiw","Cases confirmed as malaria (non-pregnant)","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Cases confirmed as malaria (pregnant women)","CrV5hkFVvdH","Cases confirmed as malaria (pregnant women)","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Cases presumed as malaria","PoyoVEewRIq","Cases presumed as malaria","CORE - Sex | Age-group","IM Case Reporting"
"IM CR - DX Cases presumed as malaria (non-pregnant)","RnZK9U6WoAm","Cases presumed as malaria (non-pregnant)","CORE - Sex | Age-group","IM Case Reporting"
"IM CR - DX Cases presumed as malaria (pregnant)","qXQ0d9NKQtI","Cases presumed as malaria (pregnant)","CORE - Sex | Age-group","IM Case Reporting"
"IM CR - DX CU5 with fever presented to CHWs","jQCXu21pwiA","CU5 with fever presented to CHWs","CORE - Sex","IM Case Reporting"
"IM CR - DX Severe cases confirmed as malaria","WY24SnaT4l7","Severe cases confirmed as malaria","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Severe cases confirmed as malaria (non-pregnant)","W6NdGzWJurN","Severe cases confirmed as malaria (non-pregnant)","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Severe cases confirmed as malaria (pregnant)","h5toMEwrcCi","Severe cases confirmed as malaria (pregnant)","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Suspected malaria cases","eHWYhy8vO8q","Suspected malaria cases","CORE - Sex | Age-group","IM Case Reporting"
"IM CR - DX Suspected malaria cases (non-pregnant)","DGZDsRtmqL7","Suspected malaria cases (non-pregnant)","CORE - Sex | Age-group","IM Case Reporting"
"IM CR - DX Suspected malaria cases (pregnant women)","erW9vdRJVSE","Suspected malaria cases (pregnant women)","CORE - Sex | Age-group","IM Case Reporting"
"IM CR - DX Suspected malaria cases who received a parasitological test","N6j1f9LZiLf","Suspected malaria cases tested","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Suspected malaria cases who received a parasitological test (non-pregnant)","uZWRcBbXVO5","Suspected malaria cases tested (non-pregnant)","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Suspected malaria cases who received a parasitological test (pregnant women)","hoGKdACnBUs","Suspected malaria cases tested (pregnant women)","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Uncomplicated cases confirmed as malaria","K9yKtsvDrgF","Uncomplicated cases confirmed as malaria","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Uncomplicated cases confirmed as malaria (non-pregnant)","Pj5lotJAQBN","Uncompli cases confirmed as malaria (non-pregnant)","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - DX Uncomplicated cases confirmed as malaria (pregnant)","vNMoSuNdpaX","Uncompli cases confirmed as malaria (pregnant)","CORE - Sex | CORE - Parasitological test | CORE - Age-group","IM Case Reporting"
"IM CR - MIP Pregnant women attending routine ANC","jNJNr4i82le","IM CR - MIP Pregnant women attending routine ANC","default","IM Case Reporting"
"IM CR - MIP Pregnant women who received an ITN during routine ANC","p4bKkXlEOtC","IM CR - MIP Pregnant women received an ITN at ANC","default","IM Case Reporting"
"IM CR - MIP Pregnant women who received one dose of IPTp (IPT1)","i5xgliv1YDl","IM CR - MIP Pregnant women who received IPT1","default","IM Case Reporting"
"IM CR - MIP Pregnant women who received three or more doses of IPTp (IPT3)","IGhCODoV6YY","IM CR - MIP Pregnant women who received IPT3","default","IM Case Reporting"
"IM CR - MIP Pregnant women who received two doses of IPTp (IPT2)","Y73pLgWXfTh","IM CR - MIP Pregnant women who received IPT2","default","IM Case Reporting"
"IM CR - RE Targeted health facilities scheduled to report monthly routine malaria case load data","pDisUBYkiUY","HFs scheduled to report malaria data","CORE - Type of health facility | CORE - Type of ownership","IM Case Reporting"
